scheme,model,accuracy,kappa,macro_auc,seizure_sens,seizure_spec,params,train_min
binary,ATCNet,0.97,0.9079754601226994,0.9945535714285715,0.95,0.975,114170,4.985369030634562
binary,EEGNet,0.9671428571428572,0.8997384481255449,0.9933290816326532,0.95,0.9714285714285714,1714,4.676351865132649
3class,ATCNet,0.9528571428571428,0.9261744966442953,0.9933730158730159,0.9071428571428571,0.9857142857142858,114335,11.986354605356853
3class,EEGNet,0.9571428571428572,0.9326750448833034,0.9928528911564626,0.8857142857142857,0.9928571428571429,1971,5.069479902585347
